experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,error_message,fg_repository,fg_model,fg_duration_seconds,fg_training_success,fg_retries,fg_error_message,fg_hyperparam_alpha,fg_hyperparam_batch_size,fg_hyperparam_dropout,fg_hyperparam_epochs,fg_hyperparam_kfold,fg_hyperparam_learning_rate,fg_hyperparam_max_iter,fg_hyperparam_seed,fg_hyperparam_weight_decay,fg_perf_accuracy,fg_perf_best_val_accuracy,fg_perf_map,fg_perf_precision,fg_perf_rank1,fg_perf_rank5,fg_perf_recall,fg_perf_test_accuracy,fg_perf_test_loss,fg_energy_cpu_pkg_joules,fg_energy_cpu_ram_joules,fg_energy_cpu_total_joules,fg_energy_gpu_avg_watts,fg_energy_gpu_max_watts,fg_energy_gpu_min_watts,fg_energy_gpu_total_joules,fg_energy_gpu_temp_avg_celsius,fg_energy_gpu_temp_max_celsius,fg_energy_gpu_util_avg_percent,fg_energy_gpu_util_max_percent,bg_repository,bg_model,bg_note,bg_log_directory
MRT-OAST_default_001,2025-11-26T23:05:10.088419,MRT-OAST,default,True,1038.1196410655975,0,,,0.2,8,,0.0001,,1334,0.0,4583.0,,,0.976605,,,0.742656,,,30532.01,2330.97,32862.98,263.25598802395183,316.41,67.78,263782.4999999997,77.98203592814372,83.0,91.23552894211576,97.0,,1,epochs,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT-OAST_default_002,2025-11-26T23:32:14.385068,MRT-OAST,default,True,1561.193340063095,0,,,0.2,12,,0.0001,,1334,0.0,4745.0,,,0.986171,,,0.855606,,,46239.05,3513.29,49752.34,238.4233135313529,317.91,76.43,361211.31999999966,79.53201320132013,84.0,92.92541254125412,100.0,,1,epochs,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT-OAST_default_003,2025-11-26T23:55:07.223177,MRT-OAST,default,True,1309.7449824810028,0,,,0.2,10,,8.51351160044323e-05,,1334,0.0,4623.0,,,0.982613,,,0.771618,,,38798.11,2959.59,41757.7,234.78553543307137,315.52,76.77,298177.63000000064,79.14645669291339,84.0,92.80078740157481,100.0,,1,learning_rate,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT-OAST_default_004,2025-11-27T00:17:51.991618,MRT-OAST,default,True,1301.6753942966461,0,,,0.2,10,,0.00011495933376973943,,1334,0.0,4738.0,,,0.985039,,,0.844435,,,38544.19,2949.68,41493.87,238.29454833597435,315.74,76.49,300727.7199999996,79.7337559429477,84.0,92.86291600633915,97.0,,1,learning_rate,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT-OAST_default_005,2025-11-27T00:40:39.697491,MRT-OAST,default,True,1304.6129689216614,0,,,0.2,10,,0.0001,,2339,0.0,4622.0,,,0.98178,,,0.780306,,,38529.08,2965.91,41494.99,236.38840316205517,317.53,76.63,299031.3299999998,79.4901185770751,84.0,92.71304347826087,98.0,,1,seed,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT-OAST_default_006,2025-11-27T01:03:23.512587,MRT-OAST,default,True,1300.721886396408,0,,,0.2,10,,0.0001,,4162,0.0,4688.0,,,0.982054,,,0.81506,,,38496.85,2957.09,41453.94,240.3329500396512,315.79,76.43,303059.85000000015,79.84139571768438,84.0,92.84694686756542,97.0,,1,seed,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT-OAST_default_007,2025-11-27T01:26:07.887870,MRT-OAST,default,True,1301.2824006080627,0,,,0.12455674962926074,10,,0.0001,,1334,0.0,4809.0,,,0.992944,,,0.873397,,,38608.17,2950.76,41558.93,239.25244250594804,316.67,76.53,301697.3300000005,79.6669310071372,84.0,92.8366375892149,97.0,,1,dropout,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT-OAST_default_008,2025-11-27T01:48:51.027370,MRT-OAST,default,True,1300.0468301773071,0,,,0.12275489474891335,10,,0.0001,,1334,0.0,4800.0,,,0.991541,,,0.872983,,,38617.87,2950.25,41568.12,240.69019841269858,317.74,76.49,303269.6500000002,79.85396825396825,84.0,92.7936507936508,97.0,,1,dropout,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT-OAST_default_009,2025-11-27T02:11:44.734547,MRT-OAST,default,True,1310.6141784191132,0,,,0.2,10,,0.0001,,1334,0.0004471895224744538,4611.0,,,0.979493,,,0.750931,,,38998.38,2985.57,41983.95,237.87788188976384,317.66,76.14,302104.9100000001,79.20472440944881,84.0,92.88031496062992,100.0,,1,weight_decay,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT-OAST_default_010,2025-11-27T02:34:35.446016,MRT-OAST,default,True,1307.5870184898376,0,,,0.2,10,,0.0001,,1334,0.00032793625117347565,4636.0,,,0.981867,,,0.761688,,,38791.8,2991.7,41783.5,238.32858044164024,318.02,76.2,302200.63999999984,79.56624605678233,84.0,92.72003154574132,97.0,,1,weight_decay,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
